"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10"
463 0.0904048626433859 0 0 0 1 0 0 0 18 444 0
464 0.0882691736028537 0 0 0 1 0 0 0 17 446 0
465 0.0861325008671523 0 0 0 1 0 0 0 16 448 0
466 0.0839949160971836 0 0 0 1 0 0 0 15 450 0
467 0.0818564897816946 0 0 0 1 0 0 0 14 452 0
468 0.0797172912557528 0 0 0 1 0 0 0 13 454 0
469 0.0775773887189093 0 0 0 1 0 0 0 12 456 0
470 0.0754368492530557 0 0 0 1 0 0 0 11 458 0
471 0.07329573883998 0 0 0 1 0 0 0 10 460 0
472 0.0711541223786268 0 0 0 1 0 0 0 9 462 0
473 0.0690120637020681 0 0 0 1 0 0 0 8 464 0
474 0.066869625594189 0 0 0 1 0 0 0 7 466 0
475 0.0647268698060942 0 0 0 1 0 0 0 6 468 0
476 0.0625838570722407 0 0 0 1 0 0 0 5 470 0
477 0.0604406471263004 0 0 0 1 0 0 0 4 472 0
478 0.0582972987167592 0 0 0 1 0 0 0 3 474 0
479 0.0561538696222558 0 0 0 1 0 0 0 2 476 0
480 0.0540104166666667 0 0 0 1 0 0 0 1 478 0
481 0.0518669957339396 0 0 0 1 0 0 0 0 480 0
482 0.0559778585079458 0 0 0 1 0 0 0 0 479 2
483 0.056436437208784 0 0 0 0 0 0 0 29 454 0
484 0.0545044737381326 0 0 0 0 0 0 0 28 456 0
485 0.0525709427144224 0 0 0 0 0 0 0 27 458 0
486 0.0506359125472066 0 0 0 0 0 0 0 26 460 0
487 0.0486994506027348 0 0 0 0 0 0 0 25 462 0
488 0.0467616232195646 0 0 0 0 0 0 0 24 464 0
489 0.0448224957239222 0 0 0 0 0 0 0 23 466 0
490 0.0428821324448147 0 0 0 0 0 0 0 22 468 0
491 0.0409405967289002 0 0 0 0 0 0 0 21 470 0
492 0.0389979509551193 0 0 0 0 0 0 0 20 472 0
493 0.0370542565490909 0 0 0 0 0 0 0 19 474 0
494 0.0351095739972791 0 0 0 0 0 0 0 18 476 0
495 0.0331639628609326 0 0 0 0 0 0 0 17 478 0
496 0.0312174817898023 0 0 0 0 0 0 0 16 480 0
497 0.0292701885356404 0 0 0 0 0 0 0 15 482 0
498 0.0273221399654844 0 0 0 0 0 0 0 14 484 0
499 0.0253733920747306 0 0 0 0 0 0 0 13 486 0
500 0.023424 0 0 0 0 0 0 0 12 488 0
501 0.0214740180318007 0 0 0 0 0 0 0 11 490 0
502 0.01952349962699 0 0 0 0 0 0 0 10 492 0
503 0.0175724974210404 0 0 0 0 0 0 0 9 494 0
504 0.0156210632401109 0 0 0 0 0 0 0 8 496 0
505 0.0136692481129301 0 0 0 0 0 0 0 7 498 0
506 0.0117171022824915 0 0 0 0 0 0 0 6 500 0
507 0.00976467521756552 0 0 0 0 0 0 0 5 502 0
508 0.00781201562403125 0 0 0 0 0 0 0 4 504 0
509 0.00585917145603113 0 0 0 0 0 0 0 3 506 0
510 0.00390618992695117 0 0 0 0 0 0 0 2 508 0
511 0.00195311752023008 0 0 0 0 0 0 0 1 510 0
